labels,values,title,value_heading
"['essay', 'soil']","[1, 2]",Title,Values
"['race', 'cheek', 'land', 'wage', 'cotton', 'move']","[20, 30, 70, 60, 10, 60]",Most preferred objects,Percent of People
"['boat', 'page', 'close', 'crisis', 'taxi', 'mean']","[1, 8, 6, 5, 4, 9]",Title,Values
"['reason', 'month', 'silver']","[8, 4, 9]",Sales statistics for different items,Units sold
"['award', 'campus']","[80, 40]",Accuracy of different algorithms,Accuracy
"['author', 'league', 'while', 'side', 'coffee']","[10, 50, 60, 10, 40]",Accuracy of different algorithms,Accuracy
"['author', 'use', 'index']","[3, 4, 2]",Accuracy of different algorithms,Accuracy
"['dirt', 'wise']","[80, 10]",Title,Values
"['manner', 'legend', 'origin', 'mold']","[7, 4, 4, 6]",Title,Values
"['left', 'dancer', 'enemy']","[1, 8, 2]",Title,Values
"['world', 'battle', 'drift', 'defeat', 'knife']","[7, 8, 1, 5, 7]",Most preferred objects,Number of People
"['cold', 'ship', 'fog', 'park']","[9, 1, 2, 7]",Title,Values
"['wit', 'star', 'outfit', 'base']","[5, 2, 1, 3]",Sales statistics for different items,Units sold
"['ticket', 'edge', 'west', 'cat', 'glory', 'skirt', 'shore', 'gold']","[20, 20, 50, 80, 10, 60, 40, 10]",Accuracy of different algorithms,Accuracy
"['barn', 'sound', 'site', 'name']","[2, 4, 8, 3]",Title,Values
"['world', 'king', 'closet', 'night', 'sister', 'patent', 'blood']","[4, 2, 6, 4, 4, 6, 4]",Sales statistics for different items,Units sold
"['rifle', 'parlor', 'season', 'dining', 'bread', 'bridge']","[90, 80, 10, 70, 30, 50]",Title,Values
"['beef', 'trial', 'iron', 'vein', 'home', 'lot']","[2, 1, 9, 2, 9, 4]",Most preferred objects,Number of People
"['bunk', 'half']","[3, 3]",Title,Values
"['unity', 'stop', 'valley', 'relief']","[1, 9, 8, 2]",Sales statistics for different items,Units sold
"['harbor', 'youth', 'beer']","[6, 7, 8]",Accuracy of different algorithms,Accuracy
"['beam', 'bulk', 'method', 'attack']","[80, 20, 0, 30]",Accuracy of different algorithms,Accuracy
"['corn', 'loan', 'motion', 'mercy', 'role']","[10, 100, 1000000, 100, 10]",Title,Values
"['steel', 'cap', 'cold', 'muscle', 'left']","[1000, 100, 1000, 10000000, 10000000]",Title,Values
"['scope', 'aim', 'tail', 'fluid']","[8, 3, 3, 1]",Most preferred objects,Number of People
"['editor', 'regard', 'line']","[20, 10, 70]",Title,Values
"['bank', 'chest', 'range', 'survey', 'cost', 'end', 'fluid', 'tent']","[4, 9, 4, 7, 5, 4, 9, 6]",Most preferred objects,Number of People
"['blind', 'flow', 'while', 'tip']","[20, 30, 70, 50]",Most preferred objects,Percent of People
"['future', 'porch', 'salary', 'energy', 'tree', 'excess']","[6, 4, 2, 9, 9, 4]",Most preferred objects,Number of People
"['bay', 'air', 'effect']","[4, 1, 9]",Accuracy of different algorithms,Accuracy
"['grave', 'round', 'head', 'pool', 'press']","[40, 80, 80, 20, 20]",Most preferred objects,Percent of People
"['taxi', 'lack']","[2, 2]",Accuracy of different algorithms,Accuracy
"['income', 'staff', 'storm', 'winter', 'path']","[9, 5, 5, 7, 6]",Accuracy of different algorithms,Accuracy
"['screen', 'water', 'choice', 'phrase', 'vein']","[20, 50, 20, 30, 20]",Most preferred objects,Percent of People
"['maid', 'essay', 'volume', 'sphere']","[6, 6, 8, 5]",Sales statistics for different items,Units sold
"['death', 'clerk', 'cloud', 'anger']","[90, 70, 70, 20]",Accuracy of different algorithms,Accuracy
"['clock', 'motel']","[50, 80]",Most preferred objects,Percent of People
"['arc', 'symbol', 'humor', 'roof']","[60, 80, 10, 40]",Title,Values
"['glass', 'lot', 'chip', 'pack', 'get', 'glance', 'tie']","[10, 30, 60, 70, 40, 70, 60]",Title,Values
"['melody', 'diet', 'break']","[6, 4, 1]",Most preferred objects,Number of People
"['touch', 'result']","[9, 2]",Most preferred objects,Number of People
"['share', 'sphere', 'sake', 'breath']","[5, 5, 2, 8]",Accuracy of different algorithms,Accuracy
"['sister', 'dust', 'power', 'shame', 'taxi', 'rank']","[5, 1, 4, 4, 8, 5]",Most preferred objects,Number of People
"['fire', 'bomb', 'drift']","[1, 3, 7]",Sales statistics for different items,Units sold
"['chin', 'stem', 'dome', 'stop', 'bill', 'panic']","[4, 8, 7, 6, 4, 4]",Most preferred objects,Number of People
"['name', 'tea', 'store']","[8, 9, 3]",Sales statistics for different items,Units sold
"['myth', 'mood', 'latter', 'hay', 'month', 'theme']","[8, 8, 8, 7, -1, 1]",Title,Values
"['lunch', 'amount', 'truck', 'bay', 'ease']","[40, 70, 90, 70, 70]",Title,Values
"['act', 'mad']","[40, 10]",Title,Values
"['music', 'gain', 'post', 'star', 'judge']","[3, 4, 7, 1, 4]",Most preferred objects,Number of People
"['danger', 'glass', 'mirror', 'slope', 'flight']","[1, 1, 3, 6, 9]",Title,Values
"['paint', 'idea', 'sun', 'appeal', 'plane', 'city', 'gown']","[4, 4, 4, 8, 5, 7, 4]",Sales statistics for different items,Units sold
